Date,Region,Product,Marketing_Channel,Quarter,Spend,Impressions,Clicks,Conversions,Revenue,CTR,CPC,ROI
01-01-2023 00:00,North,Product C,Email,Q4,2410.89,4106,793,22,15214.74,0.1931,3.04,5.3108
08-01-2023 00:00,East,Product C,Search Engine,Q4,798.87,8338,296,21,7830.21,0.0355,2.7,8.8016
15-01-2023 00:00,North,Product D,Search Engine,Q2,3711.28,1309,202,24,16070.27,0.1543,18.37,3.3301
22-01-2023 00:00,North,Product B,Social Media,Q1,936.03,2055,377,36,5877.33,0.1835,2.48,5.279
29-01-2023 00:00,South,Product A,Search Engine,Q4,3314.53,9831,960,23,12804.25,0.0977,3.45,2.8631
05-02-2023 00:00,East,Product D,Search Engine,Q4,2157.18,3158,565,6,12393.81,0.1789,3.82,4.7454
12-02-2023 00:00,East,Product B,Email,Q1,4532.35,9961,452,4,1008.27,0.0454,10.03,-0.7775
19-02-2023 00:00,East,Product B,Social Media,Q3,2474.37,1576,157,21,17798.03,0.0996,15.76,6.193
26-02-2023 00:00,East,Product D,Email,Q1,2062.96,5067,800,7,16555.2,0.1579,2.58,7.025
05-03-2023 00:00,West,Product A,Email,Q3,2981.54,4023,926,18,18196.92,0.2302,3.22,5.1032
12-03-2023 00:00,West,Product C,Social Media,Q2,4756.4,3459,469,46,14724.5,0.1356,10.14,2.0957
19-03-2023 00:00,East,Product A,Email,Q3,1176.82,3294,342,11,9216.38,0.1038,3.44,6.8316
26-03-2023 00:00,North,Product B,Search Engine,Q1,658.38,3488,663,21,11489.96,0.1901,0.99,16.4519
02-04-2023 00:00,North,Product D,Search Engine,Q1,1467.26,5269,120,19,14600.4,0.0228,12.23,8.9508
09-04-2023 00:00,West,Product D,Social Media,Q3,1961.58,3155,319,12,1122.86,0.1011,6.15,-0.4276
16-04-2023 00:00,East,Product C,Direct Mail,Q3,2191.96,9477,898,42,18187.47,0.0948,2.44,7.2974
23-04-2023 00:00,South,Product C,Search Engine,Q2,2426.42,6635,822,14,12020.84,0.1239,2.95,3.9541
30-04-2023 00:00,West,Product B,Search Engine,Q2,3372.11,6859,702,29,8958.72,0.1023,4.8,1.6567
07-05-2023 00:00,East,Product D,Direct Mail,Q2,2947.59,6421,409,32,13245.18,0.0637,7.21,3.4936
14-05-2023 00:00,West,Product A,Search Engine,Q4,1233.05,6000,870,19,17779.58,0.145,1.42,13.4192
21-05-2023 00:00,South,Product B,Social Media,Q1,1719.2,5011,357,7,11587.55,0.0712,4.82,5.7401
28-05-2023 00:00,North,Product A,Search Engine,Q2,1358.97,8342,147,37,3523.57,0.0176,9.24,1.5928
04-06-2023 00:00,North,Product D,Social Media,Q4,2519.04,7619,420,23,9579.45,0.0551,6,2.8028
11-06-2023 00:00,North,Product C,Search Engine,Q4,3079.59,9537,161,29,18035.98,0.0169,19.13,4.8566
18-06-2023 00:00,South,Product A,Search Engine,Q1,2529.77,5797,633,11,8063.26,0.1092,4,2.1873
25-06-2023 00:00,North,Product C,Email,Q2,3806.24,4862,777,6,16594.68,0.1598,4.9,3.3599
02-07-2023 00:00,South,Product D,Social Media,Q2,4578.68,9761,960,43,7580.12,0.0984,4.77,0.6555
09-07-2023 00:00,West,Product D,Email,Q3,969.39,8563,879,2,10178.95,0.1027,1.1,9.5004
16-07-2023 00:00,South,Product A,Email,Q1,524.51,8309,818,27,11469.56,0.0984,0.64,20.8672
23-07-2023 00:00,East,Product C,Search Engine,Q2,882.8,6439,262,36,9695.88,0.0407,3.37,9.9831
30-07-2023 00:00,West,Product A,Direct Mail,Q3,4887.33,5230,241,27,5105.7,0.0461,20.28,0.0447
06-08-2023 00:00,South,Product D,Search Engine,Q4,1475,6477,361,28,5619.49,0.0557,4.09,2.8098
13-08-2023 00:00,West,Product C,Search Engine,Q2,2653.89,8129,677,20,13651.72,0.0833,3.92,4.144
20-08-2023 00:00,East,Product A,Social Media,Q3,3283.84,5414,643,4,19911.6,0.1188,5.11,5.0635
27-08-2023 00:00,West,Product B,Email,Q3,630.86,9141,207,32,15580.93,0.0226,3.05,23.6979
03-09-2023 00:00,East,Product A,Email,Q2,4683.9,4693,553,14,15632.65,0.1178,8.47,2.3375
10-09-2023 00:00,North,Product C,Email,Q2,4049.72,9585,860,20,3451.58,0.0897,4.71,-0.1477
17-09-2023 00:00,North,Product D,Direct Mail,Q2,2760.36,5113,449,2,6173,0.0878,6.15,1.2363
24-09-2023 00:00,South,Product A,Direct Mail,Q4,1712.71,2964,951,9,7700.25,0.3209,1.8,3.4959
01-10-2023 00:00,West,Product D,Social Media,Q3,1503.7,3793,595,19,13329.54,0.1569,2.53,7.8645
08-10-2023 00:00,North,Product C,Email,Q1,4259.99,3130,719,12,11611.84,0.2297,5.92,1.7258
15-10-2023 00:00,West,Product D,Direct Mail,Q1,4860.17,9056,222,37,12814.42,0.0245,21.89,1.6366
22-10-2023 00:00,West,Product B,Search Engine,Q4,2365.17,8728,895,44,12869.36,0.1025,2.64,4.4412
29-10-2023 00:00,East,Product D,Direct Mail,Q1,1957.63,6396,191,17,4503.55,0.0299,10.25,1.3005
05-11-2023 00:00,West,Product C,Social Media,Q3,4693.69,1612,254,28,12889.41,0.1576,18.48,1.7461
12-11-2023 00:00,West,Product A,Email,Q4,3325.1,7223,985,22,3463.67,0.1364,3.38,0.0417
19-11-2023 00:00,East,Product C,Social Media,Q3,688.4,4477,205,38,17378.22,0.0458,3.36,24.2444
26-11-2023 00:00,West,Product A,Email,Q4,2088.39,2859,933,44,4436.96,0.3263,2.24,1.1246
03-12-2023 00:00,North,Product B,Email,Q1,4341.92,7948,208,49,5957.79,0.0262,20.87,0.3722
10-12-2023 00:00,South,Product A,Social Media,Q1,3211.52,7790,886,41,7313.16,0.1137,3.62,1.2772
17-12-2023 00:00,East,Product A,Search Engine,Q1,2828.02,5429,502,17,5384.96,0.0925,5.63,0.9041
24-12-2023 00:00,North,Product D,Direct Mail,Q3,1730.76,8184,821,33,7941.68,0.1003,2.11,3.5886
31-12-2023 00:00,West,Product C,Direct Mail,Q2,4735.94,5473,761,45,2492.35,0.139,6.22,-0.4737
07-01-2024 00:00,West,Product A,Direct Mail,Q3,1451.91,3573,592,28,18330.96,0.1657,2.45,11.6254
14-01-2024 00:00,East,Product B,Email,Q3,1339.96,2205,849,16,8983.12,0.385,1.58,5.704
21-01-2024 00:00,South,Product B,Direct Mail,Q3,2387.81,4006,928,9,2618.35,0.2317,2.57,0.0965
28-01-2024 00:00,South,Product D,Search Engine,Q4,2547.39,2428,514,31,2195.26,0.2117,4.96,-0.1382
